symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-04-27 00:00:00+00:00,1270.86,1294.1,1265.06,1292.0,2209333,63.543,64.705,63.253,64.6,44186660,0.0,1.0
GOOGL,2020-04-28 00:00:00+00:00,1232.59,1284.76,1230.38,1283.2,4035007,61.6295,64.238,61.519,64.16,80700140,0.0,1.0
GOOGL,2020-04-29 00:00:00+00:00,1342.18,1360.15,1326.73,1345.0,5417888,67.109,68.0075,66.3365,67.25,108357760,0.0,1.0
GOOGL,2020-04-30 00:00:00+00:00,1346.7,1350.0,1321.5,1331.36,2792124,67.335,67.5,66.075,66.568,55842480,0.0,1.0
GOOGL,2020-05-01 00:00:00+00:00,1317.32,1351.43,1309.66,1324.09,2443554,65.866,67.5715,65.483,66.2045,48871080,0.0,1.0
GOOGL,2020-05-04 00:00:00+00:00,1322.9,1324.47,1296.01,1308.13,1540347,66.145,66.2235,64.8005,65.4065,30806940,0.0,1.0
GOOGL,2020-05-05 00:00:00+00:00,1349.02,1371.01,1335.03,1337.5,1983318,67.451,68.5505,66.7515,66.875,39666360,0.0,1.0
GOOGL,2020-05-06 00:00:00+00:00,1345.43,1368.69,1345.13,1358.0,1586629,67.2715,68.4345,67.2565,67.9,31732580,0.0,1.0
GOOGL,2020-05-07 00:00:00+00:00,1369.28,1376.0,1352.54,1361.31,1535819,68.464,68.8,67.627,68.0655,30716380,0.0,1.0
GOOGL,2020-05-08 00:00:00+00:00,1384.34,1396.64,1372.01,1381.82,1666487,69.217,69.832,68.6005,69.091,33329740,0.0,1.0
GOOGL,2020-05-11 00:00:00+00:00,1403.59,1415.53,1375.5,1376.79,1635856,70.1795,70.7765,68.775,68.8395,32717120,0.0,1.0
GOOGL,2020-05-12 00:00:00+00:00,1375.18,1414.33,1374.51,1408.22,1695874,68.759,70.7165,68.7255,70.411,33917480,0.0,1.0
GOOGL,2020-05-13 00:00:00+00:00,1348.33,1385.33,1328.01,1376.16,2018404,67.4165,69.2665,66.4005,68.808,40368080,0.0,1.0
GOOGL,2020-05-14 00:00:00+00:00,1356.86,1357.37,1323.3,1333.52,1833017,67.843,67.8685,66.165,66.676,36660340,0.0,1.0
GOOGL,2020-05-15 00:00:00+00:00,1373.06,1374.58,1339.0,1348.26,2077199,68.653,68.729,66.95,67.413,41543980,0.0,1.0
GOOGL,2020-05-18 00:00:00+00:00,1385.18,1392.76,1354.2,1361.58,2356449,69.259,69.638,67.71,68.079,47128980,0.0,1.0
GOOGL,2020-05-19 00:00:00+00:00,1374.4,1392.49,1373.76,1385.48,1579250,68.72,69.6245,68.688,69.274,31585000,0.0,1.0
GOOGL,2020-05-20 00:00:00+00:00,1409.16,1412.03,1387.42,1389.16,1913133,70.458,70.6015,69.371,69.458,38262660,0.0,1.0
GOOGL,2020-05-21 00:00:00+00:00,1406.75,1416.46,1394.39,1410.99,1537428,70.3375,70.823,69.7195,70.5495,30748560,0.0,1.0
GOOGL,2020-05-22 00:00:00+00:00,1413.24,1417.0,1395.95,1403.9,1427206,70.662,70.85,69.7975,70.195,28544120,0.0,1.0
GOOGL,2020-05-26 00:00:00+00:00,1421.37,1445.11,1419.4,1441.96,2229488,71.0685,72.2555,70.97,72.098,44589760,0.0,1.0
GOOGL,2020-05-27 00:00:00+00:00,1420.28,1425.35,1394.6,1420.0,1584185,71.014,71.2675,69.73,71.0,31683700,0.0,1.0
GOOGL,2020-05-28 00:00:00+00:00,1418.24,1444.46,1399.08,1400.0,1759787,70.912,72.223,69.954,70.0,35195740,0.0,1.0
GOOGL,2020-05-29 00:00:00+00:00,1433.52,1436.73,1415.98,1420.43,1852522,71.676,71.8365,70.799,71.0215,37050440,0.0,1.0
GOOGL,2020-06-01 00:00:00+00:00,1434.87,1441.58,1422.28,1425.7,1259254,71.7435,72.079,71.114,71.285,25185080,0.0,1.0
GOOGL,2020-06-02 00:00:00+00:00,1442.31,1443.0,1421.61,1435.0,1172069,72.1155,72.15,71.0805,71.75,23441380,0.0,1.0
GOOGL,2020-06-03 00:00:00+00:00,1439.25,1449.01,1431.62,1442.7,1386640,71.9625,72.4505,71.581,72.135,27732800,0.0,1.0
GOOGL,2020-06-04 00:00:00+00:00,1414.3,1441.32,1406.01,1436.78,1349105,70.715,72.066,70.3005,71.839,26982100,0.0,1.0
GOOGL,2020-06-05 00:00:00+00:00,1440.02,1446.3,1407.62,1415.64,2132350,72.001,72.315,70.381,70.782,42647000,0.0,1.0
GOOGL,2020-06-08 00:00:00+00:00,1448.04,1449.0,1424.48,1426.28,1693881,72.402,72.45,71.224,71.314,33877620,0.0,1.0
GOOGL,2020-06-09 00:00:00+00:00,1452.08,1467.8,1442.36,1445.24,1681155,72.604,73.39,72.118,72.262,33623100,0.0,1.0
GOOGL,2020-06-10 00:00:00+00:00,1464.7,1472.77,1454.36,1461.51,1588116,73.235,73.6385,72.718,73.0755,31762320,0.0,1.0
GOOGL,2020-06-11 00:00:00+00:00,1401.9,1451.6,1398.41,1441.03,2357243,70.095,72.58,69.9205,72.0515,47144860,0.0,1.0
GOOGL,2020-06-12 00:00:00+00:00,1412.92,1434.51,1385.8,1425.86,1833756,70.646,71.7255,69.29,71.293,36675120,0.0,1.0
GOOGL,2020-06-15 00:00:00+00:00,1420.74,1425.0,1387.2,1389.49,1527652,71.037,71.25,69.36,69.4745,30553040,0.0,1.0
GOOGL,2020-06-16 00:00:00+00:00,1446.47,1457.17,1428.99,1449.0,1534826,72.3235,72.8585,71.4495,72.45,30696520,0.0,1.0
GOOGL,2020-06-17 00:00:00+00:00,1452.54,1462.2,1435.13,1452.94,1530500,72.627,73.11,71.7565,72.647,30610000,0.0,1.0
GOOGL,2020-06-18 00:00:00+00:00,1434.12,1452.97,1426.24,1449.85,1743071,71.706,72.6485,71.312,72.4925,34861420,0.0,1.0
GOOGL,2020-06-19 00:00:00+00:00,1424.64,1444.5,1419.0,1440.0,2639167,71.232,72.225,70.95,72.0,52783340,0.0,1.0
GOOGL,2020-06-22 00:00:00+00:00,1450.66,1450.95,1419.19,1425.01,1472072,72.533,72.5475,70.9595,71.2505,29441440,0.0,1.0
GOOGL,2020-06-23 00:00:00+00:00,1463.98,1475.2,1445.0,1452.0,1887583,73.199,73.76,72.25,72.6,37751660,0.0,1.0
GOOGL,2020-06-24 00:00:00+00:00,1432.7,1475.79,1430.0,1463.28,1579579,71.635,73.7895,71.5,73.164,31591580,0.0,1.0
GOOGL,2020-06-25 00:00:00+00:00,1441.1,1442.32,1419.54,1431.22,1197907,72.055,72.116,70.977,71.561,23958140,0.0,1.0
GOOGL,2020-06-26 00:00:00+00:00,1362.54,1437.02,1355.0,1432.63,4882014,68.127,71.851,67.75,71.6315,97640280,0.0,1.0
GOOGL,2020-06-29 00:00:00+00:00,1397.17,1398.0,1351.65,1360.34,2253678,69.8585,69.9,67.5825,68.017,45073560,0.0,1.0
GOOGL,2020-06-30 00:00:00+00:00,1418.05,1424.0,1386.93,1396.88,2014320,70.9025,71.2,69.3465,69.844,40286400,0.0,1.0
GOOGL,2020-07-01 00:00:00+00:00,1442.0,1448.48,1414.18,1419.17,2109566,72.1,72.424,70.709,70.9585,42191320,0.0,1.0
GOOGL,2020-07-02 00:00:00+00:00,1469.93,1488.52,1451.07,1451.84,2861202,73.4965,74.426,72.5535,72.592,57224040,0.0,1.0
